report_year,table_number,jurisdiction,program,phase,published_count,recomputed_count,signed_difference,absolute_difference,comparison_status
2021,18,MO,STTR,Phase II,6,6,0,0,exact
2021,18,MS,SBIR,Phase I,1,1,0,0,exact
2021,18,MS,SBIR,Phase II,1,1,0,0,exact
2021,18,MS,STTR,Phase I,0,0,0,0,exact
2021,18,MS,STTR,Phase II,0,0,0,0,exact
2021,18,MT,SBIR,Phase I,11,11,0,0,exact
2021,18,MT,SBIR,Phase II,6,4,-2,2,unresolved
2021,18,MT,STTR,Phase I,2,2,0,0,exact
2021,18,MT,STTR,Phase II,3,3,0,0,exact
2021,18,NC,SBIR,Phase I,115,128,13,13,unresolved
2021,18,NC,SBIR,Phase II,75,80,5,5,unresolved
2021,18,NC,STTR,Phase I,31,32,1,1,unresolved
2021,18,NC,STTR,Phase II,6,7,1,1,unresolved
2021,18,ND,SBIR,Phase I,1,1,0,0,exact
2021,18,ND,SBIR,Phase II,0,1,1,1,unresolved
2021,18,ND,STTR,Phase I,0,0,0,0,exact
2021,18,ND,STTR,Phase II,0,0,0,0,exact
2021,18,NE,SBIR,Phase I,5,5,0,0,exact
2021,18,NE,SBIR,Phase II,4,4,0,0,exact
2021,18,NE,STTR,Phase I,2,2,0,0,exact
2021,18,NE,STTR,Phase II,0,0,0,0,exact
2021,18,NH,SBIR,Phase I,35,34,-1,1,unresolved
2021,18,NH,SBIR,Phase II,23,24,1,1,unresolved
2021,18,NH,STTR,Phase I,6,6,0,0,exact
2021,18,NH,STTR,Phase II,2,2,0,0,exact
2021,18,NJ,SBIR,Phase I,56,60,4,4,unresolved
2021,18,NJ,SBIR,Phase II,47,50,3,3,unresolved
2021,18,NJ,STTR,Phase I,22,22,0,0,exact
2021,18,NJ,STTR,Phase II,8,8,0,0,exact
2021,18,NM,SBIR,Phase I,49,48,-1,1,unresolved
2021,18,NM,SBIR,Phase II,21,21,0,0,exact
2021,18,NM,STTR,Phase I,9,9,0,0,exact
2021,18,NM,STTR,Phase II,1,1,0,0,exact
2021,18,NV,SBIR,Phase I,8,7,-1,1,unresolved
2021,18,NV,SBIR,Phase II,2,2,0,0,exact
2021,18,NV,STTR,Phase I,0,2,2,2,unresolved
2021,18,NV,STTR,Phase II,2,2,0,0,exact
2021,18,NY,SBIR,Phase I,142,143,1,1,unresolved
2021,18,NY,SBIR,Phase II,89,85,-4,4,unresolved
2021,18,NY,STTR,Phase I,46,48,2,2,unresolved
2021,18,NY,STTR,Phase II,12,15,3,3,unresolved
2021,18,OH,SBIR,Phase I,135,134,-1,1,unresolved
2021,18,OH,SBIR,Phase II,76,75,-1,1,unresolved
2021,18,OH,STTR,Phase I,76,74,-2,2,unresolved
2021,18,OH,STTR,Phase II,27,26,-1,1,unresolved
2021,18,OK,SBIR,Phase I,18,17,-1,1,unresolved
2021,18,OK,SBIR,Phase II,8,8,0,0,exact
2021,18,OK,STTR,Phase I,8,6,-2,2,unresolved
2021,18,OK,STTR,Phase II,0,0,0,0,exact
2021,18,OR,SBIR,Phase I,49,51,2,2,unresolved
