report_year,jurisdiction,program,phase,published_count,recomputed_count,delta,tolerance,within_tolerance,published_dollars,recomputed_dollars,dollar_delta,classification
2020,WY,STTR,Phase I,5,5,0,6,True,988844,988844,0,exact
2020,WY,STTR,Phase II,2,2,0,6,True,249996,719992,469996,revised_upstream
2021,AK,SBIR,Phase I,3,1,-2,6,True,250000,100000,-150000,revised_upstream
2021,AK,SBIR,Phase II,0,0,0,6,True,0,0,0,exact
2021,AK,STTR,Phase I,1,0,-1,6,True,256000,0,-256000,revised_upstream
2021,AK,STTR,Phase II,0,0,0,6,True,0,0,0,exact
2021,AL,SBIR,Phase I,56,59,3,11,True,9567706,9255219,-312487,revised_upstream
2021,AL,SBIR,Phase II,35,37,2,7,True,38883691,45152038,6268347,revised_upstream
2021,AL,STTR,Phase I,20,20,0,6,True,3519782,3376387,-143395,revised_upstream
2021,AL,STTR,Phase II,6,6,0,6,True,6808404,7522367,713963,revised_upstream
2021,AR,SBIR,Phase I,8,8,0,6,True,1201463,1146463,-55000,revised_upstream
2021,AR,SBIR,Phase II,5,5,0,6,True,5473058,7251410,1778352,revised_upstream
2021,AR,STTR,Phase I,6,7,1,6,True,988402,920983,-67419,revised_upstream
2021,AR,STTR,Phase II,0,1,1,6,True,0,747836,747836,revised_upstream
2021,AZ,SBIR,Phase I,60,61,1,12,True,11879263,11291774,-587489,revised_upstream
2021,AZ,SBIR,Phase II,44,45,1,9,True,44541790,52958220,8416430,revised_upstream
2021,AZ,STTR,Phase I,17,17,0,6,True,4119585,4024612,-94973,revised_upstream
2021,AZ,STTR,Phase II,11,9,-2,6,True,8639977,10615371,1975394,revised_upstream
2021,CA,SBIR,Phase I,750,764,14,150,True,139577979,143630323,4052344,revised_upstream
2021,CA,SBIR,Phase II,427,425,-2,85,True,576305900,525978468,-50327432,revised_upstream
2021,CA,STTR,Phase I,165,163,-2,33,True,34642941,34239313,-403628,revised_upstream
2021,CA,STTR,Phase II,43,43,0,9,True,53203919,54171925,968006,revised_upstream
2021,CO,SBIR,Phase I,180,181,1,36,True,29288440,30037020,748580,revised_upstream
2021,CO,SBIR,Phase II,107,111,4,21,True,114940740,123055155,8114415,revised_upstream
2021,CO,STTR,Phase I,41,45,4,8,True,6389241,7210939,821698,revised_upstream
2021,CO,STTR,Phase II,11,11,0,6,True,13543603,11612151,-1931452,revised_upstream
2021,CT,SBIR,Phase I,34,33,-1,7,True,7668565,6378001,-1290564,revised_upstream
2021,CT,SBIR,Phase II,13,15,2,6,True,21863437,18335642,-3527795,revised_upstream
2021,CT,STTR,Phase I,10,10,0,6,True,2366898,2372526,5628,revised_upstream
2021,CT,STTR,Phase II,2,2,0,6,True,2400539,4093557,1693018,revised_upstream
2021,DC,SBIR,Phase I,19,18,-1,6,True,3027824,3213112,185288,revised_upstream
2021,DC,SBIR,Phase II,7,6,-1,6,True,11710457,4756363,-6954094,revised_upstream
2021,DC,STTR,Phase I,2,2,0,6,True,266582,266582,0,exact
2021,DC,STTR,Phase II,1,1,0,6,True,749837,749837,0,exact
2021,DE,SBIR,Phase I,24,22,-2,6,True,3620167,4143487,523320,revised_upstream
2021,DE,SBIR,Phase II,9,6,-3,6,True,13234994,5381943,-7853051,revised_upstream
2021,DE,STTR,Phase I,7,8,1,6,True,1219040,1305876,86836,revised_upstream
2021,DE,STTR,Phase II,4,6,2,6,True,4927869,6299175,1371306,revised_upstream
2021,FL,SBIR,Phase I,113,117,4,23,True,19175226,19702932,527706,revised_upstream
2021,FL,SBIR,Phase II,75,76,1,15,True,88880806,94061504,5180698,revised_upstream
2021,FL,STTR,Phase I,32,31,-1,6,True,6505336,6247400,-257936,revised_upstream
2021,FL,STTR,Phase II,4,5,1,6,True,6338560,7650317,1311757,revised_upstream
2021,GA,SBIR,Phase I,32,31,-1,6,True,6944586,5579442,-1365144,revised_upstream
2021,GA,SBIR,Phase II,21,23,2,6,True,27977587,28536944,559357,revised_upstream
2021,GA,STTR,Phase I,20,20,0,6,True,5192276,4520854,-671422,revised_upstream
2021,GA,STTR,Phase II,10,10,0,6,True,8983495,10485256,1501761,revised_upstream
2021,HI,SBIR,Phase I,41,40,-1,8,True,8120268,7415556,-704712,revised_upstream
2021,HI,SBIR,Phase II,15,16,1,6,True,21244625,19877821,-1366804,revised_upstream
2021,HI,STTR,Phase I,4,4,0,6,True,521899,621881,99982,revised_upstream
2021,HI,STTR,Phase II,2,2,0,6,True,1849785,1849785,0,exact
2021,IA,SBIR,Phase I,12,12,0,6,True,2512278,2512278,0,exact
2021,IA,SBIR,Phase II,3,4,1,6,True,7560286,4613673,-2946613,revised_upstream
2021,IA,STTR,Phase I,5,5,0,6,True,1767892,1316346,-451546,revised_upstream
2021,IA,STTR,Phase II,1,1,0,6,True,1099773,1099773,0,exact
2021,ID,SBIR,Phase I,6,5,-1,6,True,910971,705562,-205409,revised_upstream
2021,ID,SBIR,Phase II,4,4,0,6,True,4622380,2999929,-1622451,revised_upstream
2021,ID,STTR,Phase I,1,1,0,6,True,149926,149926,0,exact
2021,ID,STTR,Phase II,0,0,0,6,True,0,0,0,exact
2021,IL,SBIR,Phase I,79,80,1,16,True,15757524,15282035,-475489,revised_upstream
2021,IL,SBIR,Phase II,45,48,3,9,True,56207574,57227877,1020303,revised_upstream
2021,IL,STTR,Phase I,26,27,1,6,True,4678394,4845332,166938,revised_upstream
2021,IL,STTR,Phase II,7,7,0,6,True,8954718,7104707,-1850011,revised_upstream
2021,IN,SBIR,Phase I,36,38,2,7,True,5459781,6199444,739663,revised_upstream
2021,IN,SBIR,Phase II,17,16,-1,6,True,19322959,12850575,-6472384,revised_upstream
2021,IN,STTR,Phase I,21,23,2,6,True,3681038,4216074,535036,revised_upstream
2021,IN,STTR,Phase II,3,3,0,6,True,7479878,3728057,-3751821,revised_upstream
2021,KS,SBIR,Phase I,11,8,-3,6,True,1378233,752498,-625735,revised_upstream
2021,KS,SBIR,Phase II,4,4,0,6,True,4480180,5703011,1222831,revised_upstream
2021,KS,STTR,Phase I,11,11,0,6,True,1048345,1346431,298086,revised_upstream
2021,KS,STTR,Phase II,1,1,0,6,True,749631,749631,0,exact
2021,KY,SBIR,Phase I,20,20,0,6,True,4472171,4476302,4131,revised_upstream
2021,KY,SBIR,Phase II,5,5,0,6,True,10863380,7610788,-3252592,revised_upstream
2021,KY,STTR,Phase I,4,3,-1,6,True,907707,1004622,96915,revised_upstream
2021,KY,STTR,Phase II,3,2,-1,6,True,3166436,2445655,-720781,revised_upstream
